 Morbidade Hospitalar do SUS - por local de residência - Brasil
Óbitos por Unidade da Federação e Ano processamento
Lista Morb  CID-10: Tuberculose miliar, Restante de outras tuberculoses
Período:1995-2007
"Unidade da Federação";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"Total"
"11 Rondônia";-;-;1;-;1;-;1;1;-;-;4
"12 Acre";-;-;1;-;-;-;1;-;-;-;2
"13 Amazonas";2;11;3;2;2;-;-;-;1;1;22
"14 Roraima";-;1;-;-;-;1;-;-;-;-;2
"15 Pará";1;2;5;9;1;3;7;3;3;1;35
"16 Amapá";-;-;1;2;-;-;1;-;-;1;5
"17 Tocantins";-;-;-;-;-;-;1;1;1;-;3
"21 Maranhão";2;2;2;1;-;1;1;-;1;-;10
"22 Piauí";-;1;1;2;-;-;-;1;1;1;7
"23 Ceará";3;2;2;-;-;1;-;1;-;-;9
"24 Rio Grande do Norte";1;1;1;-;-;-;1;-;-;-;4
"25 Paraíba";-;-;1;-;-;-;-;1;-;-;2
"26 Pernambuco";6;3;1;2;-;3;5;2;1;3;26
"27 Alagoas";1;-;1;-;2;-;1;2;4;3;14
"28 Sergipe";-;-;-;-;-;-;-;-;-;1;1
"29 Bahia";4;-;2;1;1;1;1;5;5;3;23
"31 Minas Gerais";5;10;7;4;2;1;-;2;-;1;32
"32 Espírito Santo";1;1;1;1;1;1;-;-;-;-;6
"33 Rio de Janeiro";5;14;5;8;4;6;3;3;3;3;54
"35 São Paulo";16;8;8;16;6;3;1;1;3;-;62
"41 Paraná";2;2;-;-;1;-;2;-;-;-;7
"42 Santa Catarina";1;1;-;2;-;-;-;-;2;-;6
"43 Rio Grande do Sul";2;2;4;3;3;4;9;-;-;-;27
"50 Mato Grosso do Sul";1;-;2;1;-;-;-;1;-;-;5
"51 Mato Grosso";1;-;-;2;1;-;-;1;-;1;6
"52 Goiás";3;7;8;3;2;3;-;1;-;-;27
"53 Distrito Federal";2;-;-;2;-;-;-;-;-;-;4
"00 Ignorado/exterior";5;-;-;-;-;-;-;-;-;-;5
"Total";64;68;57;61;27;28;35;26;25;19;410
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
