 Morbidade Hospitalar do SUS - por local de residência - Brasil
Óbitos por Unidade da Federação e Ano processamento
Lista Morb  CID-10: Tuberculose miliar, Restante de outras tuberculoses
Período:Jan/2008-Abr/2021
"Unidade da Federação";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";-;-;-;-;-;2;1;-;1;-;-;1;-;-;5
"12 Acre";-;1;1;-;-;1;1;-;-;-;2;1;1;-;8
"13 Amazonas";1;-;1;6;5;1;2;1;2;5;1;2;5;1;33
"14 Roraima";-;-;-;-;-;-;-;1;-;-;-;-;-;1;2
"15 Pará";1;-;4;5;3;1;1;2;2;3;3;7;5;3;40
"16 Amapá";-;-;-;-;-;2;1;2;-;-;-;-;-;1;6
"17 Tocantins";-;-;1;1;-;1;-;-;1;-;-;-;-;1;5
"21 Maranhão";-;-;1;-;1;2;-;2;-;1;-;3;2;-;12
"22 Piauí";-;-;2;1;-;-;1;1;1;-;-;1;2;-;9
"23 Ceará";2;1;-;-;1;2;5;2;2;-;4;4;3;-;26
"24 Rio Grande do Norte";2;1;1;1;4;-;2;-;-;-;-;1;-;-;12
"25 Paraíba";-;-;-;-;-;-;1;-;-;-;-;-;1;-;2
"26 Pernambuco";-;1;-;1;2;-;-;1;1;3;2;8;4;1;24
"27 Alagoas";4;1;1;1;1;-;1;1;-;1;3;1;-;1;16
"28 Sergipe";-;1;-;-;-;1;-;2;-;-;1;1;-;-;6
"29 Bahia";3;1;3;6;5;5;5;3;5;5;5;4;11;-;61
"31 Minas Gerais";2;2;2;4;2;4;4;7;3;5;5;8;3;2;53
"32 Espírito Santo";1;-;3;2;2;-;2;3;2;-;1;1;-;1;18
"33 Rio de Janeiro";5;5;5;10;14;9;10;14;8;8;13;15;25;9;150
"35 São Paulo";2;7;7;9;13;16;19;16;22;23;22;20;12;6;194
"41 Paraná";-;1;1;-;4;5;3;1;2;1;1;2;2;3;26
"42 Santa Catarina";-;-;5;3;6;4;7;3;4;3;3;7;5;1;51
"43 Rio Grande do Sul";4;2;5;5;4;6;7;5;7;5;9;13;12;3;87
"50 Mato Grosso do Sul";2;1;-;3;-;-;2;2;-;1;2;-;-;-;13
"51 Mato Grosso";-;1;-;2;-;2;-;1;-;2;1;4;2;2;17
"52 Goiás";-;-;4;-;-;3;-;-;3;-;2;3;2;1;18
"53 Distrito Federal";-;-;-;1;2;-;2;-;-;2;-;-;-;-;7
"Total";29;26;47;61;69;67;77;70;66;68;80;107;97;37;901
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
