 Morbidade Hospitalar do SUS - por local de residência - Brasil
Óbitos por Unidade da Federação e Ano processamento
Lista Estend CID-9: Infecção meningocócica
Período:1995-2007
"Unidade da Federação";"1995";"1996";"1997";"Total"
"13 Amazonas";-;1;-;1
"15 Pará";2;3;-;5
"17 Tocantins";-;1;1;2
"21 Maranhão";1;1;1;3
"23 Ceará";1;7;1;9
"24 Rio Grande do Norte";1;-;-;1
"25 Paraíba";2;1;2;5
"26 Pernambuco";-;1;-;1
"27 Alagoas";6;8;10;24
"28 Sergipe";-;1;1;2
"29 Bahia";2;-;-;2
"31 Minas Gerais";5;4;10;19
"32 Espírito Santo";10;8;5;23
"33 Rio de Janeiro";21;72;38;131
"35 São Paulo";59;43;38;140
"41 Paraná";1;1;3;5
"42 Santa Catarina";5;7;5;17
"43 Rio Grande do Sul";1;3;2;6
"51 Mato Grosso";3;-;1;4
"52 Goiás";-;2;1;3
"53 Distrito Federal";-;-;2;2
"00 Ignorado/exterior";5;8;4;17
"Total";125;172;125;422
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
