 Morbidade Hospitalar do SUS - por local de residência - Brasil
Óbitos por Unidade da Federação e Ano processamento
Lista Morb  CID-10: Infecção meningocócica
Período:1995-2007
"Unidade da Federação";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"Total"
"11 Rondônia";-;1;-;1;-;-;-;1;-;-;3
"13 Amazonas";-;-;1;10;4;6;4;2;2;5;34
"14 Roraima";-;-;-;-;1;-;-;-;-;-;1
"15 Pará";13;3;5;5;9;6;5;5;5;1;57
"16 Amapá";1;-;-;-;-;-;-;-;-;-;1
"17 Tocantins";1;-;-;-;-;-;1;1;-;-;3
"21 Maranhão";2;2;2;1;2;2;4;-;-;-;15
"22 Piauí";-;-;2;-;1;1;-;-;-;-;4
"23 Ceará";8;14;14;8;12;4;3;4;5;6;78
"24 Rio Grande do Norte";-;1;-;1;1;-;-;-;-;-;3
"25 Paraíba";5;4;5;3;5;3;1;1;3;1;31
"26 Pernambuco";37;28;22;24;26;12;16;16;16;5;202
"27 Alagoas";8;12;10;7;1;2;1;1;4;1;47
"28 Sergipe";1;-;-;-;1;-;1;-;1;-;4
"29 Bahia";25;26;14;14;16;9;2;4;12;6;128
"31 Minas Gerais";55;45;19;17;20;17;14;13;18;5;223
"32 Espírito Santo";3;5;1;-;2;2;2;3;1;-;19
"33 Rio de Janeiro";52;45;33;37;31;23;33;29;16;14;313
"35 São Paulo";67;53;71;61;43;39;54;50;48;47;533
"41 Paraná";13;22;8;12;11;12;5;14;11;3;111
"42 Santa Catarina";3;2;7;13;14;13;8;10;4;6;80
"43 Rio Grande do Sul";12;5;7;7;9;5;6;6;3;3;63
"50 Mato Grosso do Sul";2;1;2;-;-;1;-;-;1;1;8
"51 Mato Grosso";2;-;1;1;1;1;-;-;-;1;7
"52 Goiás";13;3;-;7;2;4;-;2;-;1;32
"53 Distrito Federal";-;2;4;1;2;3;-;-;1;4;17
"00 Ignorado/exterior";3;-;-;-;-;-;-;-;-;-;3
"Total";326;274;228;230;214;165;160;162;151;110;2020
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
