 Morbidade Hospitalar do SUS - por local de residência - Brasil
Óbitos por Unidade da Federação e Ano processamento
Lista Morb  CID-10: Infecção meningocócica
Período:Jan/2008-Abr/2021
"Unidade da Federação";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";-;1;2;2;2;2;2;-;-;-;1;1;-;-;13
"12 Acre";-;3;3;1;1;-;-;-;-;1;-;1;-;-;10
"13 Amazonas";3;5;11;3;4;1;2;3;3;1;1;1;1;1;40
"14 Roraima";-;-;1;-;-;1;-;-;1;1;-;1;2;-;7
"15 Pará";7;3;8;8;1;9;5;1;9;3;3;1;4;-;62
"16 Amapá";-;2;1;1;2;3;-;-;-;1;-;1;-;-;11
"17 Tocantins";3;-;2;4;2;2;2;1;-;1;-;-;1;-;18
"21 Maranhão";2;3;3;3;13;7;6;4;7;1;2;8;1;1;61
"22 Piauí";1;-;-;1;1;2;-;5;2;1;-;1;-;1;15
"23 Ceará";7;9;4;4;6;9;2;1;4;1;3;5;1;-;56
"24 Rio Grande do Norte";6;1;1;4;5;4;2;-;3;2;1;3;1;1;34
"25 Paraíba";1;-;1;-;-;4;2;2;10;-;5;2;1;-;28
"26 Pernambuco";3;6;7;23;14;13;9;7;18;7;4;5;4;-;120
"27 Alagoas";2;1;-;-;1;2;-;-;2;1;-;1;-;-;10
"28 Sergipe";1;-;1;1;5;2;-;-;3;-;1;1;-;-;15
"29 Bahia";10;23;27;28;18;18;12;13;6;9;3;9;1;-;177
"31 Minas Gerais";25;30;31;25;22;28;26;17;9;15;16;8;10;2;264
"32 Espírito Santo";5;10;5;7;5;6;4;3;1;-;1;1;-;-;48
"33 Rio de Janeiro";15;20;25;20;24;27;22;21;22;10;15;8;7;-;236
"35 São Paulo";118;128;111;109;112;88;64;46;37;38;34;21;17;6;929
"41 Paraná";31;22;22;18;13;11;12;7;17;9;6;5;4;2;179
"42 Santa Catarina";9;8;7;14;9;14;5;5;4;6;8;10;-;1;100
"43 Rio Grande do Sul";30;24;27;18;16;22;23;6;13;9;16;11;14;3;232
"50 Mato Grosso do Sul";2;3;4;3;1;5;5;-;-;1;1;3;-;-;28
"51 Mato Grosso";4;6;7;6;9;10;8;4;5;5;3;-;-;-;67
"52 Goiás";14;15;17;23;21;13;11;5;17;13;2;3;4;-;158
"53 Distrito Federal";3;-;1;1;4;1;-;-;-;1;1;1;-;-;13
"Total";302;323;329;327;311;304;224;151;193;137;127;112;73;18;2931
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
