 Morbidade Hospitalar do SUS - por local de residência - Brasil
Óbitos por Unidade da Federação e Ano processamento
Lista Morb  CID-10: Influenza [gripe]
Período:Jan/2008-Abr/2021
"Unidade da Federação";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";1;-;-;2;3;1;2;-;1;1;3;-;1;2;17
"12 Acre";2;3;5;11;11;14;3;12;10;8;17;18;23;10;147
"13 Amazonas";3;-;38;35;2;4;9;8;6;3;3;5;6;11;133
"15 Pará";5;7;13;4;3;3;13;4;11;11;16;12;222;16;340
"16 Amapá";-;-;-;3;1;8;3;1;-;3;2;1;1;1;24
"17 Tocantins";4;1;2;3;4;2;1;1;2;3;-;-;6;-;29
"21 Maranhão";5;6;23;20;11;9;11;11;14;41;22;12;41;12;238
"22 Piauí";2;2;-;1;2;2;2;4;4;3;7;2;16;3;50
"23 Ceará";159;214;162;147;176;229;141;138;128;116;125;102;101;27;1965
"24 Rio Grande do Norte";4;1;2;5;4;8;12;6;6;10;11;6;8;6;89
"25 Paraíba";8;14;5;2;8;12;15;27;28;53;16;32;32;7;259
"26 Pernambuco";3;8;9;10;8;70;178;101;9;3;18;9;23;2;451
"27 Alagoas";9;15;10;15;4;4;3;3;-;4;10;10;45;8;140
"28 Sergipe";-;2;1;-;-;8;2;-;-;-;3;1;11;6;34
"29 Bahia";22;14;34;24;28;46;31;42;25;22;39;51;93;35;506
"31 Minas Gerais";93;102;96;111;88;106;105;97;122;122;99;86;105;53;1385
"32 Espírito Santo";14;6;5;8;11;4;4;14;12;9;4;6;11;4;112
"33 Rio de Janeiro";51;109;96;50;35;77;30;21;32;18;27;53;200;90;889
"35 São Paulo";50;270;140;50;74;98;51;42;145;60;77;52;473;126;1708
"41 Paraná";25;169;133;82;48;51;41;28;49;34;23;30;28;16;757
"42 Santa Catarina";72;152;126;107;119;79;52;55;70;51;49;42;82;26;1082
"43 Rio Grande do Sul";126;243;138;147;177;160;169;140;117;96;121;89;115;54;1892
"50 Mato Grosso do Sul";7;18;4;10;2;3;2;10;26;12;21;21;42;23;201
"51 Mato Grosso";9;16;12;13;7;15;11;15;7;7;12;7;60;4;195
"52 Goiás";79;41;30;28;14;18;13;16;27;22;24;24;86;34;456
"53 Distrito Federal";2;13;7;10;4;1;3;1;10;-;3;1;10;1;66
"Total";755;1426;1091;898;844;1032;907;797;861;712;752;672;1841;577;13165
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
