"Capital";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";" Total"
"110020 Porto Velho";"38,16";"48,81";"79,92";"72,64";"89,01";"77,94";"74,91";"80,20";"75,84";"69,21";"84,63";"77,23";"72,57";"77,09";"75,36";"81,45";"76,45";"96,66";"93,50";"77,20";"90,28";"99,29";"63,07";"89,68";"82,30";"70,66";"67,74";"48,53";"77,32"
"120040 Rio Branco";"37,84";"66,39";"59,74";"75,15";"75,19";"87,33";"61,60";"72,91";"70,84";"70,65";"84,57";"76,10";"77,35";"80,28";"81,56";"87,03";"74,57";"93,65";"81,84";"66,35";"60,82";"78,22";"52,48";"68,52";"75,95";"82,72";"63,26";"48,70";"73,39"
"130260 Manaus";"18,06";"35,78";"66,16";"92,13";"89,70";"91,26";"86,57";"80,58";"79,41";"71,26";"76,34";"73,82";"78,32";"82,60";"79,59";"80,62";"72,76";"83,35";"83,56";"64,73";"79,66";"98,23";"53,91";"73,28";"73,70";"81,07";"70,82";"61,95";"75,36"
"140010 Boa Vista";"70,06";"98,73";"99,12";"85,39";"107,26";"95,39";"94,41";"72,61";"72,37";"69,91";"84,58";"81,38";"76,98";"78,86";"74,09";"81,30";"69,86";"89,74";"78,75";"60,80";"80,44";"112,37";"59,54";"95,24";"80,00";"89,72";"77,16";"44,08";"79,54"
"150140 Belém";"31,87";"43,94";"70,24";"90,57";"69,67";"91,33";"88,56";"87,14";"82,67";"82,73";"89,02";"90,01";"88,50";"86,72";"81,77";"80,17";"76,95";"84,54";"69,47";"64,82";"72,34";"50,81";"38,78";"57,19";"64,64";"68,99";"52,12";"43,48";"73,75"
"160030 Macapá";"0";"43,87";"59,93";"62,31";"77,84";"86,74";"61,86";"100,64";"68,27";"71,87";"84,99";"77,79";"74,38";"74,41";"71,34";"83,89";"71,97";"80,41";"75,59";"61,48";"75,02";"95,12";"58,89";"55,16";"62,95";"69,42";"39,00";"33,52";"71,35"
"172100 Palmas";"0";"0";"97,65";"50,73";"98,95";"100,62";"86,27";"96,38";"88,25";"70,91";"72,77";"69,96";"69,52";"76,84";"76,11";"80,71";"70,82";"88,59";"73,47";"66,96";"82,40";"103,14";"56,32";"69,96";"73,85";"75,03";"81,17";"58,68";"76,99"
"211130 São Luís";"42,73";"102,58";"79,56";"128,60";"106,39";"108,11";"96,41";"95,20";"85,83";"84,71";"94,26";"89,89";"88,13";"90,82";"90,93";"90,77";"84,95";"96,52";"87,69";"68,89";"79,14";"96,56";"46,54";"78,80";"60,53";"51,37";"30,50";"31,50";"81,52"
"221100 Teresina";"62,59";"42,59";"45,50";"61,03";"73,68";"82,55";"83,28";"83,67";"78,63";"74,64";"81,15";"78,94";"76,46";"80,22";"75,57";"78,11";"71,11";"85,33";"79,46";"74,24";"81,97";"73,72";"42,55";"59,25";"69,05";"63,47";"59,12";"55,01";"72,10"
"230440 Fortaleza";"49,43";"45,77";"70,11";"73,34";"64,04";"95,65";"83,26";"84,75";"82,02";"74,84";"83,71";"79,63";"72,58";"76,25";"72,13";"76,25";"71,17";"82,09";"74,98";"70,09";"91,78";"109,68";"60,79";"76,44";"94,60";"75,92";"77,68";"44,91";"77,39"
"240810 Natal";"47,47";"58,76";"64,40";"69,64";"70,38";"92,88";"74,06";"71,58";"74,35";"70,66";"78,04";"71,04";"70,69";"72,54";"67,11";"72,93";"67,44";"84,23";"79,04";"59,26";"69,42";"88,63";"39,34";"31,30";"68,24";"75,75";"62,90";"53,67";"68,70"
"250750 João Pessoa";"0";"11,34";"48,12";"77,46";"76,70";"88,09";"77,84";"79,09";"75,26";"69,76";"77,59";"76,44";"76,25";"80,43";"73,40";"76,81";"76,02";"83,93";"82,14";"70,08";"87,34";"89,26";"42,97";"71,32";"78,78";"78,42";"50,70";"17,25";"72,53"
"261160 Recife";"52,25";"91,07";"86,60";"91,83";"98,57";"96,99";"82,99";"80,18";"78,46";"81,09";"88,63";"86,30";"80,07";"85,88";"77,22";"77,42";"69,72";"95,41";"81,80";"64,54";"82,72";"98,60";"47,64";"83,00";"73,18";"63,11";"58,21";"50,25";"78,02"
"270430 Maceió";"0";"40,76";"55,40";"50,54";"63,05";"83,82";"76,45";"73,07";"76,60";"72,15";"94,70";"74,56";"72,24";"69,82";"61,58";"75,89";"71,64";"55,35";"72,32";"62,89";"74,44";"84,81";"36,82";"65,07";"68,22";"68,87";"65,98";"57,11";"69,19"
"280030 Aracaju";"0";"80,67";"74,27";"84,05";"83,25";"148,28";"81,94";"81,23";"75,68";"74,73";"81,95";"66,52";"64,42";"73,44";"72,28";"72,11";"67,89";"81,38";"68,50";"69,82";"72,50";"91,67";"35,53";"57,53";"70,98";"61,07";"48,63";"41,51";"72,14"
"292740 Salvador";"56,35";"26,03";"36,76";"70,27";"81,63";"90,26";"82,48";"76,05";"72,55";"70,65";"91,27";"83,00";"79,01";"74,41";"67,29";"70,47";"73,52";"84,08";"76,86";"69,61";"81,90";"97,97";"46,73";"74,45";"67,87";"64,84";"66,01";"25,53";"72,72"
"310620 Belo Horizonte";"0";"0";"0";"51,02";"39,52";"94,53";"81,96";"79,69";"68,71";"65,23";"74,13";"71,16";"69,75";"72,02";"70,57";"71,89";"72,37";"71,15";"84,61";"75,35";"54,43";"91,80";"52,26";"79,03";"82,81";"76,83";"84,20";"49,26";"72,33"
"320530 Vitória";"73,10";"106,83";"104,26";"108,27";"110,31";"102,64";"77,26";"77,62";"75,44";"74,67";"89,83";"81,16";"79,18";"77,04";"78,09";"76,03";"80,04";"98,43";"86,74";"76,50";"95,48";"90,49";"54,76";"81,14";"88,73";"82,09";"71,71";"64,00";"81,30"
"330455 Rio de Janeiro";"0";"44,62";"38,05";"72,97";"80,11";"93,76";"67,75";"69,77";"69,17";"69,42";"73,55";"72,59";"68,46";"68,15";"69,20";"68,57";"62,80";"84,38";"73,42";"70,62";"84,49";"97,55";"47,54";"86,17";"76,10";"64,25";"64,63";"58,60";"70,44"
"355030 São Paulo";"0";"44,06";"39,49";"81,63";"87,83";"98,23";"74,98";"73,81";"69,72";"69,18";"75,41";"72,90";"71,34";"70,52";"70,04";"71,80";"66,18";"81,46";"73,93";"72,69";"85,60";"95,42";"36,71";"69,46";"81,42";"73,89";"64,15";"44,78";"71,10"
"410690 Curitiba";"0";"48,56";"49,14";"76,25";"65,25";"72,03";"74,17";"80,00";"77,70";"73,88";"67,82";"74,74";"74,24";"73,63";"71,33";"75,44";"71,56";"84,37";"72,05";"69,83";"80,61";"88,67";"47,19";"73,03";"77,36";"79,18";"76,10";"61,08";"72,46"
"420540 Florianópolis";"54,67";"58,22";"52,32";"83,49";"77,77";"94,24";"75,32";"72,95";"59,20";"66,30";"73,11";"68,52";"67,11";"68,58";"69,21";"73,35";"71,98";"84,41";"75,77";"61,02";"79,51";"85,48";"52,00";"44,19";"47,63";"62,15";"47,60";"60,22";"67,24"
"431490 Porto Alegre";"0";"70,25";"62,63";"63,89";"69,24";"90,05";"67,21";"71,61";"69,13";"65,98";"69,88";"66,18";"64,86";"62,91";"62,16";"63,10";"58,66";"73,28";"66,70";"60,62";"74,49";"79,40";"37,19";"66,57";"72,36";"72,81";"72,80";"43,81";"66,05"
"500270 Campo Grande";"0";"0";"48,26";"81,40";"79,09";"84,16";"79,17";"94,53";"74,04";"64,41";"69,48";"70,80";"70,59";"73,12";"70,95";"76,33";"70,97";"86,86";"84,44";"72,60";"83,31";"103,40";"61,09";"93,17";"108,18";"103,54";"67,66";"52,81";"77,84"
