"Município";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";" Total"
"110001 ALTA FLORESTA D\'OESTE";"39,24";"71,02";"61,10";"97,46";"92,92";"87,20";"79,73";"84,56";"70,88";"65,54";"67,28";"66,90";"70,26";"79,96";"79,84";"80,51";"83,80";"95,73";"78,47";"76,76";"91,29";"104,22";"55,83";"81,66";"92,55";"103,24";"84,65";"68,00";"76,76"
"110002 ARIQUEMES";"53,53";"48,04";"77,11";"87,00";"108,68";"90,54";"83,14";"88,33";"80,96";"78,78";"85,03";"81,89";"85,78";"104,83";"88,21";"83,01";"75,51";"89,00";"84,99";"84,01";"109,89";"111,53";"66,03";"83,06";"87,10";"88,36";"80,97";"62,81";"84,57"
"110003 CABIXI";"50,58";"34,07";"67,94";"109,44";"103,60";"76,56";"83,85";"105,02";"102,92";"67,96";"117,78";"77,18";"85,53";"87,54";"90,44";"91,45";"83,33";"78,18";"66,89";"56,62";"105,06";"130,49";"48,96";"63,21";"140,63";"146,78";"95,99";"64,62";"85,71"
"110004 CACOAL";"43,18";"60,01";"75,34";"83,98";"86,78";"78,34";"73,98";"87,68";"83,03";"74,17";"80,02";"76,03";"77,36";"80,90";"76,28";"80,14";"78,52";"85,21";"75,49";"71,73";"91,60";"122,14";"55,02";"94,08";"90,01";"83,05";"83,52";"69,14";"79,06"
"110005 CEREJEIRAS";"41,87";"51,26";"67,00";"106,01";"112,13";"80,30";"79,19";"86,94";"81,68";"77,27";"91,62";"80,43";"87,03";"72,02";"79,29";"88,69";"88,86";"111,32";"104,73";"88,59";"110,43";"114,76";"65,51";"96,38";"98,30";"111,24";"95,35";"95,95";"85,12"
"110006 COLORADO DO OESTE";"34,05";"46,62";"73,85";"82,12";"69,84";"71,31";"73,40";"97,90";"83,14";"78,36";"70,56";"77,79";"82,03";"85,27";"78,92";"81,10";"68,78";"79,49";"71,74";"79,34";"118,23";"112,28";"56,68";"57,37";"55,72";"71,29";"79,78";"78,80";"75,31"
"110007 CORUMBIARA";"38,71";"35,73";"51,18";"95,78";"85,05";"66,37";"70,60";"74,95";"76,90";"74,96";"94,35";"93,25";"100,34";"92,33";"76,55";"101,50";"95,46";"99,18";"77,18";"86,73";"102,47";"123,91";"63,46";"119,82";"82,91";"118,15";"118,71";"83,12";"82,78"
"110008 COSTA MARQUES";"30,34";"24,75";"71,65";"53,00";"74,87";"76,73";"65,57";"82,95";"73,54";"81,13";"87,00";"83,32";"78,80";"83,56";"84,44";"87,13";"102,60";"87,26";"67,75";"70,21";"105,17";"108,96";"65,05";"68,25";"109,76";"97,98";"78,84";"22,86";"78,93"
"110009 ESPIGAO D\'OESTE";"44,27";"47,56";"72,43";"83,00";"99,38";"86,90";"75,67";"82,93";"80,56";"73,60";"84,97";"77,49";"92,11";"122,73";"78,64";"76,98";"74,98";"22,43";"71,84";"72,30";"88,80";"119,07";"61,00";"83,00";"83,25";"78,51";"69,82";"67,83";"78,15"
"110010 GUAJARA-MIRIM";"26,69";"35,26";"65,80";"82,61";"92,21";"81,11";"91,63";"80,37";"76,02";"69,80";"83,57";"69,03";"115,63";"71,79";"75,03";"72,90";"74,47";"91,92";"83,34";"72,80";"90,18";"112,96";"59,01";"61,77";"70,06";"78,96";"46,64";"35,29";"75,55"
"110011 JARU";"42,57";"69,31";"78,23";"95,42";"90,90";"87,24";"87,79";"82,83";"80,30";"76,32";"82,01";"76,94";"93,37";"105,57";"87,86";"74,46";"70,78";"80,35";"77,15";"76,93";"99,73";"102,71";"54,98";"89,20";"74,36";"100,10";"93,79";"67,70";"81,90"
"110012 JI-PARANA";"52,83";"52,22";"89,21";"117,67";"124,57";"99,29";"101,20";"86,65";"80,13";"75,87";"83,63";"77,81";"81,08";"69,22";"79,00";"95,59";"85,98";"106,78";"95,80";"70,91";"98,35";"114,39";"66,94";"84,43";"82,30";"83,71";"90,01";"60,16";"84,33"
"110013 MACHADINHO D\'OESTE";"45,42";"74,58";"110,25";"80,65";"75,93";"78,51";"75,20";"101,94";"86,16";"71,60";"73,83";"79,91";"71,80";"105,45";"94,94";"85,76";"76,29";"80,06";"72,56";"65,69";"87,94";"146,12";"65,74";"89,89";"94,41";"72,65";"94,84";"68,54";"83,08"
"110014 NOVA BRASILANDIA D\'OESTE";"59,31";"82,05";"84,09";"120,01";"121,27";"95,89";"82,06";"80,17";"74,65";"70,57";"73,27";"71,52";"74,45";"78,48";"81,37";"88,23";"85,45";"101,04";"75,70";"69,73";"94,47";"103,35";"55,05";"80,36";"76,31";"106,44";"84,89";"61,76";"81,03"
"110015 OURO PRETO DO OESTE";"43,10";"37,34";"73,21";"76,78";"87,47";"81,59";"80,06";"86,35";"76,42";"70,15";"92,54";"86,87";"122,92";"122,00";"80,70";"77,60";"75,07";"86,23";"75,97";"69,73";"95,06";"103,47";"58,71";"69,28";"66,54";"86,64";"57,74";"49,03";"78,44"
"110018 PIMENTA BUENO";"50,30";"50,29";"90,09";"97,82";"104,33";"88,94";"76,92";"87,94";"85,91";"73,49";"80,30";"76,84";"98,38";"84,16";"75,42";"73,87";"73,82";"82,20";"83,11";"79,52";"108,48";"123,35";"65,09";"91,56";"92,77";"90,24";"91,04";"70,92";"82,23"
"110020 PORTO VELHO";"38,16";"48,81";"79,92";"72,64";"89,01";"77,94";"74,91";"80,20";"75,84";"69,21";"84,63";"77,23";"72,57";"77,09";"75,36";"81,45";"76,45";"96,66";"93,50";"77,20";"90,28";"99,29";"63,07";"89,68";"82,30";"70,66";"67,74";"48,53";"77,32"
