"Capital";"BCG";"Hepatite B  em crianças até 30 dias";"Rotavírus Humano";"Meningococo C";"Hepatite B";"Penta";"Pneumocócica";"Poliomielite";"Poliomielite 4 anos";"Febre Amarela";"Hepatite A";"Pneumocócica(1º ref)";"Meningococo C (1º ref)";"Poliomielite(1º ref)";"Tríplice Viral  D1";"Tríplice Viral  D2";"Tetra Viral(SRC+VZ)";"DTP";"DTP REF (4 e 6 anos)";"Tríplice Bacteriana(DTP)(1º ref)";"Sarampo";"Haemophilus influenzae b";"Dupla adulto e tríplice acelular gestante";"dTpa gestante";"Tetravalente (DTP/Hib) (TETRA)";"Ignorado";" Total"
"110020 Porto Velho";"103,73";"76,28";"65,01";"73,85";"87,03";"86,43";"88,61";"91,87";"65,84";"87,46";"73,05";"84,43";"87,86";"72,13";"100,09";"79,90";"66,27";"84,73";"40,79";"75,60";"74,31";"23,26";"41,09";"41,39";"74,82";"74,37";"77,32"
"120040 Rio Branco";"126,00";"79,80";"53,81";"69,35";"79,10";"69,82";"72,28";"91,47";"57,87";"78,03";"55,94";"67,19";"70,34";"68,29";"87,27";"60,67";"51,75";"76,16";"34,99";"62,99";"74,50";"12,94";"31,77";"27,28";"67,96";"74,27";"73,39"
"130260 Manaus";"119,16";"90,50";"57,71";"68,15";"77,23";"75,94";"77,47";"87,29";"74,79";"86,60";"65,19";"78,21";"81,09";"74,51";"89,63";"72,96";"60,86";"78,54";"42,30";"67,76";"87,46";"22,54";"46,87";"46,77";"66,98";"73,40";"75,36"
"140010 Boa Vista";"132,53";"108,61";"61,53";"76,69";"84,70";"77,69";"85,12";"96,14";"75,67";"86,44";"65,46";"73,10";"84,79";"79,82";"88,26";"76,46";"65,73";"89,26";"41,69";"75,34";"98,86";"31,21";"51,58";"46,96";"71,23";"75,51";"79,54"
"150140 Belém";"123,10";"73,92";"53,98";"66,27";"71,13";"59,27";"61,78";"84,76";"45,86";"76,41";"50,76";"63,33";"66,92";"58,64";"91,98";"50,32";"44,70";"82,04";"27,50";"53,19";"91,62";"27,65";"28,35";"23,52";"67,71";"76,91";"73,75"
"160030 Macapá";"114,49";"80,37";"53,21";"69,78";"78,02";"61,27";"65,90";"85,78";"29,98";"75,08";"58,58";"61,79";"65,82";"46,99";"85,45";"65,01";"55,20";"85,67";"30,29";"57,86";"84,80";"31,68";"47,79";"34,80";"65,93";"72,39";"71,35"
"172100 Palmas";"103,74";"77,43";"65,41";"71,18";"89,21";"79,04";"86,51";"96,17";"70,63";"88,54";"70,11";"82,43";"83,02";"71,70";"84,18";"72,74";"62,18";"89,06";"39,10";"72,54";"92,03";"29,62";"37,45";"39,78";"73,30";"75,32";"76,99"
"211130 São Luís";"164,04";"69,85";"53,30";"63,12";"71,07";"64,34";"64,88";"98,87";"42,75";"98,60";"57,05";"63,99";"64,60";"63,14";"112,60";"54,24";"38,10";"99,70";"27,82";"56,58";"138,50";"22,87";"56,45";"50,02";"74,90";"80,27";"81,52"
"221100 Teresina";"123,54";"86,70";"57,27";"64,73";"66,30";"65,85";"73,30";"84,79";"64,95";"65,54";"59,18";"73,79";"76,08";"67,85";"93,86";"60,18";"27,87";"80,95";"34,80";"63,95";"74,47";"28,15";"31,11";"28,23";"65,56";"73,26";"72,10"
"230440 Fortaleza";"122,56";"77,93";"65,13";"77,26";"77,71";"90,48";"93,99";"100,05";"76,69";"2,32";"80,21";"89,82";"95,13";"87,82";"112,62";"85,70";"48,66";"88,24";"41,30";"76,55";"103,61";"26,56";"68,87";"60,07";"69,44";"76,62";"77,39"
"240810 Natal";"130,95";"91,81";"51,11";"72,57";"67,69";"66,00";"73,26";"84,12";"50,19";"1,82";"61,04";"71,18";"71,37";"61,34";"92,12";"59,16";"32,22";"80,77";"33,00";"59,08";"93,43";"22,52";"41,67";"40,06";"63,48";"70,67";"68,70"
"250750 João Pessoa";"156,70";"118,68";"58,19";"54,47";"75,96";"71,21";"76,77";"87,76";"53,71";"0,92";"58,76";"71,01";"70,44";"68,34";"104,96";"57,86";"30,03";"82,30";"30,47";"59,75";"84,38";"21,26";"50,32";"44,77";"69,00";"74,02";"72,53"
"261160 Recife";"168,37";"101,73";"58,76";"59,04";"76,11";"75,30";"81,25";"103,98";"60,15";"1,06";"63,89";"76,48";"79,01";"72,80";"102,58";"66,02";"35,72";"93,97";"33,95";"64,64";"110,81";"29,08";"55,89";"52,86";"74,24";"78,63";"78,02"
"270430 Maceió";"120,61";"81,46";"47,69";"48,18";"69,62";"70,39";"70,71";"81,08";"60,91";"1,86";"65,23";"73,54";"65,52";"68,67";"92,12";"61,02";"33,32";"70,60";"35,83";"68,67";"77,20";"21,54";"38,21";"41,16";"63,37";"75,66";"69,19"
"280030 Aracaju";"115,61";"104,20";"56,81";"72,83";"75,05";"69,17";"74,26";"90,88";"58,52";"0,77";"59,02";"73,59";"74,10";"67,52";"95,31";"56,96";"30,06";"86,65";"30,44";"67,46";"109,68";"30,99";"31,81";"20,80";"67,03";"76,70";"72,14"
"292740 Salvador";"110,85";"69,53";"53,22";"78,36";"69,01";"70,41";"72,87";"89,01";"60,42";"64,30";"67,98";"74,49";"80,18";"70,13";"102,01";"72,49";"40,46";"80,22";"39,20";"74,94";"90,67";"22,37";"39,87";"32,76";"67,27";"72,35";"72,72"
"310620 Belo Horizonte";"99,10";"76,55";"61,04";"92,42";"82,22";"76,76";"85,09";"85,54";"80,17";"70,05";"67,78";"76,96";"84,56";"75,15";"100,68";"79,66";"37,36";"78,64";"47,85";"78,81";"71,71";"44,19";"17,90";"47,74";"63,53";"69,51";"72,33"
"320530 Vitória";"152,29";"102,93";"70,23";"90,01";"105,95";"88,77";"95,04";"105,77";"81,34";"14,08";"80,78";"89,54";"81,27";"76,39";"110,81";"83,44";"45,35";"105,73";"46,50";"75,31";"107,66";"25,33";"45,93";"55,59";"73,20";"76,56";"81,30"
"330455 Rio de Janeiro";"110,66";"65,07";"61,50";"87,65";"76,78";"85,06";"84,24";"101,65";"67,66";"9,31";"73,14";"82,59";"80,93";"73,27";"101,33";"77,57";"45,29";"89,78";"38,64";"72,37";"85,72";"30,56";"42,77";"47,62";"64,91";"67,79";"70,44"
"355030 São Paulo";"109,54";"69,71";"61,54";"83,42";"78,10";"77,40";"82,96";"93,16";"82,94";"8,59";"66,95";"82,97";"80,07";"78,52";"102,37";"79,10";"41,69";"88,04";"41,78";"73,61";"103,17";"28,87";"41,09";"37,50";"67,25";"69,39";"71,10"
"410690 Curitiba";"102,66";"62,85";"65,07";"89,41";"87,75";"81,62";"90,83";"95,61";"82,50";"8,06";"78,07";"90,94";"89,43";"85,11";"94,58";"93,53";"77,27";"92,34";"43,38";"52,65";"87,23";"33,51";"17,54";"36,75";"67,06";"70,70";"72,46"
"420540 Florianópolis";"116,84";"48,92";"64,24";"83,18";"78,45";"64,48";"68,95";"86,08";"78,49";"6,42";"52,41";"59,97";"78,22";"65,29";"88,88";"57,16";"52,21";"84,96";"37,10";"62,64";"92,46";"28,88";"18,06";"34,00";"65,12";"67,52";"67,24"
"431490 Porto Alegre";"100,52";"67,44";"54,12";"76,96";"69,97";"70,79";"76,40";"84,85";"69,40";"16,66";"64,09";"70,46";"72,09";"65,86";"86,58";"67,25";"61,94";"80,89";"41,21";"62,69";"84,27";"24,10";"33,14";"35,35";"60,56";"65,90";"66,05"
"500270 Campo Grande";"118,99";"95,97";"67,19";"88,72";"79,83";"83,25";"89,88";"93,85";"107,07";"88,79";"77,89";"93,92";"90,82";"93,62";"103,26";"71,76";"66,83";"87,85";"50,62";"82,64";"94,68";"28,02";"64,40";"55,75";"70,24";"69,31";"77,84"
"510340 Cuiabá";"118,16";"88,42";"58,65";"77,09";"65,48";"73,75";"76,98";"93,92";"62,30";"76,61";"64,12";"80,00";"77,19";"72,80";"98,08";"61,92";"58,83";"83,50";"35,31";"66,98";"86,77";"24,36";"45,64";"41,03";"69,45";"72,22";"74,35"
"520870 Goiânia";"111,89";"75,18";"64,00";"82,27";"73,32";"74,13";"80,80";"89,06";"75,03";"84,21";"65,91";"77,67";"76,07";"70,12";"97,81";"72,64";"61,46";"87,28";"37,86";"63,20";"91,16";"33,89";"18,69";"31,14";"67,97";"71,29";"74,17"
"530010 Brasília";"110,84";"93,70";"65,17";"58,44";"88,76";"83,89";"86,10";"95,06";"76,15";"30,61";"74,46";"87,30";"90,01";"81,42";"96,44";"86,81";"71,97";"88,31";"40,19";"79,32";"5,74";"41,94";"53,89";"45,91";"70,22";"101,36";"84,58"
"Ignorado";"101,44";"68,32";"61,34";"61,69";"78,66";"79,70";"84,00";"94,42";"60,18";"41,52";"67,96";"82,33";"84,83";"77,24";"102,54";"74,56";"49,36";"87,77";"36,01";"75,62";"85,08";"25,14";"39,11";"36,74";"73,40";"76,63";"74,94"
"Total";"105,01";"70,52";"61,04";"64,52";"78,34";"79,04";"83,28";"94,10";"62,62";"39,47";"67,92";"81,71";"83,74";"76,62";"101,79";"74,55";"49,09";"87,42";"36,75";"74,31";"85,98";"26,01";"39,76";"37,93";"71,98";"75,71";"74,57"
