"Município";"BCG";"Hepatite B  em crianças até 30 dias";"Rotavírus Humano";"Meningococo C";"Hepatite B";"Penta";"Pneumocócica";"Poliomielite";"Poliomielite 4 anos";"Febre Amarela";"Hepatite A";"Pneumocócica(1º ref)";"Meningococo C (1º ref)";"Poliomielite(1º ref)";"Tríplice Viral  D1";"Tríplice Viral  D2";"Tetra Viral(SRC+VZ)";"DTP";"DTP REF (4 e 6 anos)";"Tríplice Bacteriana(DTP)(1º ref)";"Sarampo";"Haemophilus influenzae b";"Dupla adulto e tríplice acelular gestante";"dTpa gestante";"Tetravalente (DTP/Hib) (TETRA)";"Ignorado";" Total"
"110001 ALTA FLORESTA D\'OESTE";"96,16";"60,80";"65,59";"57,99";"90,13";"96,70";"100,99";"92,92";"43,38";"109,82";"76,45";"102,38";"97,23";"87,21";"98,55";"88,81";"76,68";"84,61";"34,34";"85,88";"84,34";"24,47";"39,67";"56,67";"74,43";"69,66";"76,76"
"110002 ARIQUEMES";"118,97";"89,97";"66,24";"58,97";"100,43";"92,25";"89,24";"101,41";"68,18";"103,02";"76,54";"97,30";"93,89";"87,27";"109,34";"83,58";"72,22";"96,79";"38,84";"86,39";"95,73";"25,45";"70,43";"62,27";"80,98";"79,25";"84,57"
"110003 CABIXI";"82,44";"40,48";"58,20";"57,09";"87,82";"109,25";"98,01";"96,28";"88,45";"85,24";"81,60";"97,44";"97,92";"101,76";"111,40";"97,44";"90,43";"94,00";"47,63";"91,68";"99,65";"23,45";"65,34";"38,14";"77,84";"88,94";"85,71"
"110004 CACOAL";"109,65";"96,32";"65,30";"62,15";"89,77";"86,66";"90,62";"94,67";"82,43";"86,87";"75,55";"89,99";"90,63";"86,05";"98,08";"79,65";"71,03";"89,62";"44,46";"84,20";"86,94";"27,59";"47,71";"45,94";"71,95";"74,53";"79,06"
"110005 CEREJEIRAS";"97,46";"69,39";"71,11";"74,99";"97,23";"100,50";"108,10";"103,65";"106,29";"95,43";"81,20";"113,19";"103,40";"99,59";"109,53";"97,89";"79,87";"98,85";"100,65";"97,47";"97,42";"25,23";"85,66";"73,88";"80,24";"77,36";"85,12"
"110006 COLORADO DO OESTE";"83,18";"39,00";"59,31";"56,01";"82,79";"92,23";"91,90";"92,65";"53,08";"77,38";"66,41";"89,42";"85,31";"72,89";"102,03";"82,50";"69,67";"88,57";"32,27";"77,28";"88,95";"23,13";"30,89";"45,56";"74,38";"74,72";"75,31"
"110007 CORUMBIARA";"66,12";"42,99";"60,84";"68,30";"83,95";"99,72";"106,81";"95,41";"91,94";"88,99";"94,04";"115,69";"114,33";"114,23";"119,36";"106,90";"91,94";"90,50";"92,29";"111,82";"68,39";"18,69";"79,16";"58,64";"86,51";"81,90";"82,78"
"110008 COSTA MARQUES";"92,76";"56,51";"58,60";"55,71";"90,15";"97,89";"101,80";"97,17";"48,22";"80,89";"75,51";"88,97";"88,82";"79,71";"97,59";"85,35";"79,78";"84,92";"39,82";"83,62";"66,05";"24,62";"74,27";"54,03";"78,78";"78,54";"78,93"
"110009 ESPIGAO D\'OESTE";"94,44";"74,01";"63,92";"54,53";"92,29";"85,18";"84,06";"95,73";"72,05";"84,79";"70,35";"95,26";"88,17";"85,72";"92,80";"75,18";"65,52";"89,64";"36,84";"83,01";"84,98";"29,68";"45,93";"55,42";"72,64";"76,47";"78,15"
"110010 GUAJARA-MIRIM";"111,72";"78,11";"54,95";"56,48";"80,45";"82,37";"82,69";"86,05";"43,08";"81,53";"61,49";"80,70";"76,99";"69,36";"97,63";"67,52";"59,55";"80,52";"26,31";"67,71";"71,14";"17,86";"43,37";"30,59";"66,74";"78,21";"75,55"
