"Unidade da Federação";"BCG";"Hepatite B  em crianças até 30 dias";"Rotavírus Humano";"Meningococo C";"Hepatite B";"Penta";"Pneumocócica";"Poliomielite";"Poliomielite 4 anos";"Febre Amarela";"Hepatite A";"Pneumocócica(1º ref)";"Meningococo C (1º ref)";"Poliomielite(1º ref)";"Tríplice Viral  D1";"Tríplice Viral  D2";"Tetra Viral(SRC+VZ)";"DTP";"DTP REF (4 e 6 anos)";"Tríplice Bacteriana(DTP)(1º ref)";"Sarampo";"Haemophilus influenzae b";"Dupla adulto e tríplice acelular gestante";"dTpa gestante";"Tetravalente (DTP/Hib) (TETRA)";"Ignorado";" Total"
"11 Rondônia";"104,25";"78,71";"64,53";"64,51";"91,59";"89,81";"92,00";"96,94";"62,63";"91,75";"73,44";"89,90";"90,39";"81,71";"102,86";"82,45";"70,50";"90,99";"39,05";"80,66";"86,23";"25,12";"51,01";"46,15";"77,56";"78,44";"80,79"
"12 Acre";"104,22";"62,88";"51,94";"53,81";"74,98";"66,11";"67,51";"88,00";"42,42";"76,06";"52,18";"61,23";"63,99";"61,97";"88,16";"54,31";"48,36";"71,14";"29,80";"60,29";"69,04";"11,12";"30,14";"25,44";"69,33";"73,78";"69,84"
"13 Amazonas";"107,68";"78,35";"52,27";"59,27";"73,02";"74,06";"74,49";"83,72";"57,90";"79,83";"64,16";"77,23";"79,50";"71,37";"87,15";"68,99";"59,40";"74,28";"35,95";"68,54";"72,68";"19,29";"46,01";"44,56";"65,70";"69,99";"70,99"
"14 Roraima";"112,97";"84,96";"58,42";"64,39";"80,59";"75,89";"80,12";"89,72";"65,17";"82,23";"65,70";"73,06";"79,96";"77,18";"88,96";"73,36";"66,07";"84,19";"38,57";"74,37";"89,77";"26,70";"43,50";"42,73";"68,77";"77,16";"76,73"
"15 Pará";"109,28";"62,98";"49,20";"49,35";"70,82";"61,63";"63,86";"87,57";"31,65";"74,42";"51,58";"64,59";"66,79";"58,25";"93,96";"53,85";"45,72";"81,47";"24,31";"57,87";"80,50";"22,59";"32,16";"26,25";"71,96";"82,34";"74,28"
"16 Amapá";"112,60";"72,43";"53,77";"61,16";"78,17";"63,09";"67,25";"86,21";"28,03";"77,05";"57,68";"65,12";"67,86";"51,16";"89,91";"63,98";"55,61";"84,96";"28,88";"59,44";"82,14";"29,29";"42,93";"32,53";"69,41";"75,22";"72,47"
"17 Tocantins";"105,89";"79,47";"62,33";"59,07";"90,37";"83,04";"87,89";"98,05";"65,54";"87,60";"69,56";"84,94";"86,50";"78,09";"90,28";"75,17";"62,63";"89,12";"39,63";"76,28";"88,22";"25,00";"33,17";"39,06";"74,48";"79,24";"79,06"
"21 Maranhão";"111,96";"70,44";"53,01";"50,69";"67,29";"69,47";"69,95";"84,34";"36,65";"78,74";"56,42";"70,13";"72,34";"66,43";"100,50";"58,00";"34,38";"77,57";"25,56";"65,64";"78,69";"14,44";"40,58";"35,00";"72,37";"79,04";"74,09"
"22 Piauí";"101,82";"70,05";"56,84";"55,89";"67,68";"71,25";"76,04";"88,07";"52,86";"63,09";"62,39";"78,24";"80,18";"68,70";"98,57";"64,54";"29,85";"83,86";"33,40";"70,61";"76,87";"24,43";"35,63";"32,43";"68,87";"77,51";"73,75"
"23 Ceará";"109,28";"74,46";"64,83";"64,13";"77,25";"88,01";"90,26";"102,69";"63,43";"2,85";"75,41";"92,62";"95,12";"87,93";"112,30";"85,13";"48,84";"93,03";"38,66";"83,92";"98,09";"24,79";"63,50";"49,81";"74,60";"77,77";"76,99"
